patent_id,title,abstract,text
2026-0083295,DRIVE SYSTEM FOR A WET FLOOR CLEANER,"Provided is an agitator head assembly for a wet floor cleaner including an agitation member rotationally mounted within the agitator head assembly and arranged to contact a floor in use, a debris remover element rotationally mounted within the agitator head assembly alongside the agitation member and arranged to contact the agitation member in use, and a drive system at least partially located within the agitation member. The drive system includes a longitudinally extending drive housing, a motor at least partially located within the drive housing, and a gear arrangement at least partially located within the drive housing. The motor and the gear arrangement are longitudinally disposed with respect to one another, and a drive output of the motor is operably coupled to the agitation member and to the debris remover element via the gear arrangement to provide drive to cause the agitation member and the debris remover element to rotate.","DRIVE SYSTEM FOR A WET FLOOR CLEANER Provided is an agitator head assembly for a wet floor cleaner including an agitation member rotationally mounted within the agitator head assembly and arranged to contact a floor in use, a debris remover element rotationally mounted within the agitator head assembly alongside the agitation member and arranged to contact the agitation member in use, and a drive system at least partially located within the agitation member. The drive system includes a longitudinally extending drive housing, a motor at least partially located within the drive housing, and a gear arrangement at least partially located within the drive housing. The motor and the gear arrangement are longitudinally disposed with respect to one another, and a drive output of the motor is operably coupled to the agitation member and to the debris remover element via the gear arrangement to provide drive to cause the agitation member and the debris remover element to rotate."
2026-0085847,AIR TREATMENT APPARATUS,"An air treatment apparatus is provided and includes a primary airflow passage, a primary air mover disposed in the primary airflow passage to move air along the primary airflow passage from an inlet to an outlet, and an air treatment device for treating air flowing along the primary airflow passage. Additionally, a secondary airflow passage extends between a first opening arranged to receive untreated air by the air treatment device and a second opening connected to the primary airflow passaged downstream of the air treatment device. One or more sensors are arranged to sense a characteristic of the air flowing along the secondary airflow passage. A controller is configured to control an airflow director between a baseline configuration, where air flows from the first opening to the one or more sensors, and a diagnostic configuration, where air flows from the second opening to the one or more sensors.","AIR TREATMENT APPARATUS An air treatment apparatus is provided and includes a primary airflow passage, a primary air mover disposed in the primary airflow passage to move air along the primary airflow passage from an inlet to an outlet, and an air treatment device for treating air flowing along the primary airflow passage. Additionally, a secondary airflow passage extends between a first opening arranged to receive untreated air by the air treatment device and a second opening connected to the primary airflow passaged downstream of the air treatment device. One or more sensors are arranged to sense a characteristic of the air flowing along the secondary airflow passage. A controller is configured to control an airflow director between a baseline configuration, where air flows from the first opening to the one or more sensors, and a diagnostic configuration, where air flows from the second opening to the one or more sensors."
2026-0079502,DYNAMIC STABILITY OF A ROBOT MANIPULATOR,"A robot manipulator has a base with a connected arm by a shoulder joint, and a control system and force selector. Based on a target trajectory for a distal end of the arm instructions, a target motion and an effective force applied to the base that causes the base to execute the target motion is determined. An applied force on the robot manipulator results in a determination of a virtual ZMP force applied to the base that would either counteract an observed motion of a ZMP of the robot manipulator or act to move the ZMP back to within a predetermined support region, and/or an external force applied. Data defining the effective force and the virtual ZMP force and/or the external force applied to the base and determines a target force based on the data is received. The base executed a motion in response to the target force.","DYNAMIC STABILITY OF A ROBOT MANIPULATOR A robot manipulator has a base with a connected arm by a shoulder joint, and a control system and force selector. Based on a target trajectory for a distal end of the arm instructions, a target motion and an effective force applied to the base that causes the base to execute the target motion is determined. An applied force on the robot manipulator results in a determination of a virtual ZMP force applied to the base that would either counteract an observed motion of a ZMP of the robot manipulator or act to move the ZMP back to within a predetermined support region, and/or an external force applied. Data defining the effective force and the virtual ZMP force and/or the external force applied to the base and determines a target force based on the data is received. The base executed a motion in response to the target force."
2026-0069096,DRIVE SYSTEM FOR A FLOOR CLEANER,"Provided is a drive system for a floor cleaner including a motor, a cooling fan, a diffuser comprising a plurality of vanes arranged around a circumference of the diffuser, wherein the length of the vanes is non-uniform, and a longitudinally extending drive housing. The motor and the cooling fan are longitudinally disposed with respect to one another within the drive housing, and a drive output of the motor is configured to drive the cooling fan.","DRIVE SYSTEM FOR A FLOOR CLEANER Provided is a drive system for a floor cleaner including a motor, a cooling fan, a diffuser comprising a plurality of vanes arranged around a circumference of the diffuser, wherein the length of the vanes is non-uniform, and a longitudinally extending drive housing. The motor and the cooling fan are longitudinally disposed with respect to one another within the drive housing, and a drive output of the motor is configured to drive the cooling fan."
2026-0069106,DRIVE SYSTEM FOR A FLOOR CLEANER,A drive system for a floor cleaner includes a motor and a cooling fan longitudinally disposed with respect to one another within a longitudinally extending drive housing. The drive output of the motor is configured to drive the cooling fan via driveshaft and a drive connector which includes a fan-side connector element and a motor-side connector element. The fan-side connector element is configured to interlock with the motor-side connector element.,DRIVE SYSTEM FOR A FLOOR CLEANER A drive system for a floor cleaner includes a motor and a cooling fan longitudinally disposed with respect to one another within a longitudinally extending drive housing. The drive output of the motor is configured to drive the cooling fan via driveshaft and a drive connector which includes a fan-side connector element and a motor-side connector element. The fan-side connector element is configured to interlock with the motor-side connector element.
2026-0069899,WEARABLE AIR PURIFIER,"A wearable air purifier is provided and can include a headgear, an air delivery mask connected to the headgear, and an airflow generator. The air delivery mask can define an air delivery region. The headgear defines an airflow path which is defined at least in part by a head-engaging surface. The airflow generator can direct airflow to the air delivery region through the air delivery mask and can also direct air through the airflow path to cool the head-engaging surface.","WEARABLE AIR PURIFIER A wearable air purifier is provided and can include a headgear, an air delivery mask connected to the headgear, and an airflow generator. The air delivery mask can define an air delivery region. The headgear defines an airflow path which is defined at least in part by a head-engaging surface. The airflow generator can direct airflow to the air delivery region through the air delivery mask and can also direct air through the airflow path to cool the head-engaging surface."
2026-0074299,ELECTRODE PRECURSOR COMPOSITION,"An electrode precursor composition for an alkali metal ion secondary cell is described. The composition includes a polymer-solvent gel matrix phase and a dispersed phase containing an electrochemically active material. The electrochemically active material has a multimodal particle size distribution having a D150/D250 in the range 2 to 15. The electrode precursor composition can be processed into an electrode for an alkali metal ion secondary cell, for example a lithium ion secondary cell.","ELECTRODE PRECURSOR COMPOSITION An electrode precursor composition for an alkali metal ion secondary cell is described. The composition includes a polymer-solvent gel matrix phase and a dispersed phase containing an electrochemically active material. The electrochemically active material has a multimodal particle size distribution having a D150/D250 in the range 2 to 15. The electrode precursor composition can be processed into an electrode for an alkali metal ion secondary cell, for example a lithium ion secondary cell."
2026-0075681,"HEATING ELEMENT, HEATING SYSTEM AND MANUFACTURING METHOD","A heating element with a self-balancing effect can be included in an appliance. The heating element includes a substrate and a plurality of resistive heating traces for connection to a power source. Each trace includes a first electrical contact and a second electrical contact. Each trace further includes an input portion connected to the first electrical contact, an output portion connected to the second electrical contact, and a zone-defining portion connected at a first end to the input portion and at a second end to the output portion. he zone-defining portion of the trace defining a respective zone having at least three laterally adjacent trace portions of that trace. The heating element can be included in a heating system.","HEATING ELEMENT, HEATING SYSTEM AND MANUFACTURING METHOD A heating element with a self-balancing effect can be included in an appliance. The heating element includes a substrate and a plurality of resistive heating traces for connection to a power source. Each trace includes a first electrical contact and a second electrical contact. Each trace further includes an input portion connected to the first electrical contact, an output portion connected to the second electrical contact, and a zone-defining portion connected at a first end to the input portion and at a second end to the output portion. he zone-defining portion of the trace defining a respective zone having at least three laterally adjacent trace portions of that trace. The heating element can be included in a heating system."
2026-0061355,FILTER MEDIA,"Described herein is a filter media that can have a membrane layer and a first non-woven scrim layer that is secured to a surface of the membrane layer. The filter media can have a Young's Modulus of at least 175 MPa. Also described is an air filtering device with an inlet, an airflow generator to generate an airflow from the inlet towards the airflow generator, and the filter media.","FILTER MEDIA Described herein is a filter media that can have a membrane layer and a first non-woven scrim layer that is secured to a surface of the membrane layer. The filter media can have a Young's Modulus of at least 175 MPa. Also described is an air filtering device with an inlet, an airflow generator to generate an airflow from the inlet towards the airflow generator, and the filter media."
2026-0066284,ELECTRODE PRECURSOR COMPOSITION,"Disclosed is an electrode precursor composition suitable for preparing a gel electrode, the composition containing an organic solvent, an alkali metal salt, and two or more polymers, the two or more polymers including at least an electronically insulating polymer and an electronically conductive polymer, wherein the electronically conductive polymer is present in a smaller volume fraction than the electronically insulating polymer.","ELECTRODE PRECURSOR COMPOSITION Disclosed is an electrode precursor composition suitable for preparing a gel electrode, the composition containing an organic solvent, an alkali metal salt, and two or more polymers, the two or more polymers including at least an electronically insulating polymer and an electronically conductive polymer, wherein the electronically conductive polymer is present in a smaller volume fraction than the electronically insulating polymer."
2026-0054105,WEARABLE AIR PURIFIER,"A wearable air purifier is provided and includes a headgear, an air delivery mask, and a fan. The air delivery mask is connected to the headgear and bounds an air delivery region. The air delivery mask is further configured to define a first airflow path to deliver a flow of air to the air delivery region. The headgear defines a second airflow path. The fan is configured to direct airflow to the first airflow path and the second airflow path.","WEARABLE AIR PURIFIER A wearable air purifier is provided and includes a headgear, an air delivery mask, and a fan. The air delivery mask is connected to the headgear and bounds an air delivery region. The air delivery mask is further configured to define a first airflow path to deliver a flow of air to the air delivery region. The headgear defines a second airflow path. The fan is configured to direct airflow to the first airflow path and the second airflow path."
2026-0050263,METHOD AND SYSTEM FOR EXPLORING A REAL-WORLD ENVIRONMENT,"A method and system for exploring a real-world environment using a mobile robot platform comprising mapping the environment at a first time, to generate a first representation of the environment and identifying an initial location of an object in the first representation of the environment. The environment is mapped at a second time, to generate a second representation of the environment. The mappings are generated based on data obtained from a sensor associated with the mobile robot platform. Based on data obtained from the sensor, a new location of the object is identified in the second representation of the environment, and a difference between the initial location of the object and the new location of the object is determined. Using a manipulator the object is moved to the initial location when it is determined that the initial location of the object differs from the new location.","METHOD AND SYSTEM FOR EXPLORING A REAL-WORLD ENVIRONMENT A method and system for exploring a real-world environment using a mobile robot platform comprising mapping the environment at a first time, to generate a first representation of the environment and identifying an initial location of an object in the first representation of the environment. The environment is mapped at a second time, to generate a second representation of the environment. The mappings are generated based on data obtained from a sensor associated with the mobile robot platform. Based on data obtained from the sensor, a new location of the object is identified in the second representation of the environment, and a difference between the initial location of the object and the new location of the object is determined. Using a manipulator the object is moved to the initial location when it is determined that the initial location of the object differs from the new location."
2026-0041296,VACUUM CLEANER,"A vacuum cleaner comprises a cleaner head defining a suction chamber and having an agitator arranged to be rotated by an agitator motor, a dirt separator, a vacuum motor arranged to draw air into the suction chamber and then into the dirt separator, and a controller. The controller is configured to monitor the electrical load of the agitator motor, compare the magnitude of the electrical load to a threshold, and selectively adjust the electrical power delivered to the vacuum motor. The controller is configured either to increase the electrical power delivered to the vacuum motor to a predetermined upper power level if the electrical load is greater than the threshold, or to decrease the electrical power delivered to the vacuum motor to a predetermined lower power level if the electrical load is smaller than the threshold.","VACUUM CLEANER A vacuum cleaner comprises a cleaner head defining a suction chamber and having an agitator arranged to be rotated by an agitator motor, a dirt separator, a vacuum motor arranged to draw air into the suction chamber and then into the dirt separator, and a controller. The controller is configured to monitor the electrical load of the agitator motor, compare the magnitude of the electrical load to a threshold, and selectively adjust the electrical power delivered to the vacuum motor. The controller is configured either to increase the electrical power delivered to the vacuum motor to a predetermined upper power level if the electrical load is greater than the threshold, or to decrease the electrical power delivered to the vacuum motor to a predetermined lower power level if the electrical load is smaller than the threshold."
2026-0045507,ELECTRODE PRECURSOR COMPOSITION,"An electrode precursor composition for an alkali metal ion secondary cell, for example a lithium-ion secondary cell, is described. The electrode precursor composition includes a polymer-electrolyte gel matrix phase and a dispersed phase containing an electrochemically active material. The electrode precursor composition may be processed into an electrode.","ELECTRODE PRECURSOR COMPOSITION An electrode precursor composition for an alkali metal ion secondary cell, for example a lithium-ion secondary cell, is described. The electrode precursor composition includes a polymer-electrolyte gel matrix phase and a dispersed phase containing an electrochemically active material. The electrode precursor composition may be processed into an electrode."
2026-0027706,DYNAMIC STABILITY OF A ROBOT MANIPULATOR,"A robot manipulator has a base; an arm connected to the base via at least a shoulder joint; and a control system with a dynamic stability determination module. The dynamic stability determination module of the control system determines whether a dynamic stability criterion is met. If the dynamic stability criterion is met, the arm is responds compliantly to an applied force; and if the dynamic stability criterion is not met, the control system causes motion of the base in the direction of the applied force.","DYNAMIC STABILITY OF A ROBOT MANIPULATOR A robot manipulator has a base; an arm connected to the base via at least a shoulder joint; and a control system with a dynamic stability determination module. The dynamic stability determination module of the control system determines whether a dynamic stability criterion is met. If the dynamic stability criterion is met, the arm is responds compliantly to an applied force; and if the dynamic stability criterion is not met, the control system causes motion of the base in the direction of the applied force."
2026-0020732,CLEANER HEAD FOR A VACUUM CLEANING APPLIANCE,"This invention concerns a cleaner head for a vacuum cleaning appliance, the cleaner head comprising a main body supporting an agitator. The agitator comprises a rotatable cylindrical body bearing an elongate agitator formation for engaging a floor surface as the cylindrical body rotates. The elongate agitator formation includes a first agitator row extending around the cylindrical body from a respective first edge (L) of the cylindrical body towards its centre (C) in a first helical direction and a second agitator row extending around the cylindrical body from a respective second edge (R) of the cylindrical body towards its centre (C) in a second helical direction counter to the first helical direction, wherein the agitator rows meet to define an apex, the apex being positioned closer to the first edge (L) than the second edge (R) or being positioned closer to the second edge (R) than the first edge (L).","CLEANER HEAD FOR A VACUUM CLEANING APPLIANCE This invention concerns a cleaner head for a vacuum cleaning appliance, the cleaner head comprising a main body supporting an agitator. The agitator comprises a rotatable cylindrical body bearing an elongate agitator formation for engaging a floor surface as the cylindrical body rotates. The elongate agitator formation includes a first agitator row extending around the cylindrical body from a respective first edge (L) of the cylindrical body towards its centre (C) in a first helical direction and a second agitator row extending around the cylindrical body from a respective second edge (R) of the cylindrical body towards its centre (C) in a second helical direction counter to the first helical direction, wherein the agitator rows meet to define an apex, the apex being positioned closer to the first edge (L) than the second edge (R) or being positioned closer to the second edge (R) than the first edge (L)."
2026-0020734,SEPARATION SYSTEM FOR A VACUUM CLEANER,"A separation system for a vacuum cleaner is provided and includes a bin defining a chamber having an airflow inlet, and a filter for filtering airflow from the airflow inlet. The filter is disposed within the chamber. The separation system further includes a wiping mechanism to wipe both a wall of the chamber and the filter in response to a single actuation of the wiping mechanism.","SEPARATION SYSTEM FOR A VACUUM CLEANER A separation system for a vacuum cleaner is provided and includes a bin defining a chamber having an airflow inlet, and a filter for filtering airflow from the airflow inlet. The filter is disposed within the chamber. The separation system further includes a wiping mechanism to wipe both a wall of the chamber and the filter in response to a single actuation of the wiping mechanism."
2026-0013684,VACUUM CLEANER HEAD HAVING AGITATOR ELEMENT AND RIB,"A cleaner head for a vacuum cleaner, the cleaner head having a housing defining a suction chamber comprising an outlet, and an agitator element mounted to the housing for rotation about a first axis such that the agitator comprises a first, free end and a second end. The housing comprises at least one rib extending within the housing along a helical, spiral, or angled path, the rib contacting the agitator element, such that, in use, hair picked up by the agitator element is moved axially towards the first end by the at least one rib as the agitator element rotates.","VACUUM CLEANER HEAD HAVING AGITATOR ELEMENT AND RIB A cleaner head for a vacuum cleaner, the cleaner head having a housing defining a suction chamber comprising an outlet, and an agitator element mounted to the housing for rotation about a first axis such that the agitator comprises a first, free end and a second end. The housing comprises at least one rib extending within the housing along a helical, spiral, or angled path, the rib contacting the agitator element, such that, in use, hair picked up by the agitator element is moved axially towards the first end by the at least one rib as the agitator element rotates."
2025-0380781,HAIR STYLING APPLIANCE,"Disclosed herein is a hair styling appliance that includes electrodes and a control system that, during operation, energises the electrodes to heat hair dielectrically. A shielding bounds the electrodes to block an electromagnetic field that is generated by the electrodes when energised. Further, a sensor assembly is located outside of the shielding, and the sensor assembly is used to sense a property of hair for the hair styling appliance.","HAIR STYLING APPLIANCE Disclosed herein is a hair styling appliance that includes electrodes and a control system that, during operation, energises the electrodes to heat hair dielectrically. A shielding bounds the electrodes to block an electromagnetic field that is generated by the electrodes when energised. Further, a sensor assembly is located outside of the shielding, and the sensor assembly is used to sense a property of hair for the hair styling appliance."
2025-0380785,AN APPLIANCE,"An appliance that includes a main unit to which one of a plurality of attachments is attachable. The appliance also includes a capacitance sensor, and a control module that is able to determine which of the plurality of attachments is attached to the main unit based on data output by the capacitance sensor.","AN APPLIANCE An appliance that includes a main unit to which one of a plurality of attachments is attachable. The appliance also includes a capacitance sensor, and a control module that is able to determine which of the plurality of attachments is attached to the main unit based on data output by the capacitance sensor."
2025-0380843,VACUUM CLEANER,"A vacuum cleaner comprises a suction generator to generate an airflow, a dirt separator comprising an opening to permit the airflow to pass into the dirt separator, a filter assembly to separate dirt from the airflow, and a dirt collection chamber to collect dirt separated from the airflow, and an attachment attached to the dirt separator. The attachment comprises a housing comprising a duct to deliver the airflow to the opening of the dirt separator, and a compaction member movable between a first position in which all of the compaction member is upstream of the opening, and a second position in which the compaction member extends through the opening of the dirt separator and into the dirt collection chamber to compact dirt collected in the dirt collection chamber.","VACUUM CLEANER A vacuum cleaner comprises a suction generator to generate an airflow, a dirt separator comprising an opening to permit the airflow to pass into the dirt separator, a filter assembly to separate dirt from the airflow, and a dirt collection chamber to collect dirt separated from the airflow, and an attachment attached to the dirt separator. The attachment comprises a housing comprising a duct to deliver the airflow to the opening of the dirt separator, and a compaction member movable between a first position in which all of the compaction member is upstream of the opening, and a second position in which the compaction member extends through the opening of the dirt separator and into the dirt collection chamber to compact dirt collected in the dirt collection chamber."
2025-0380844,VACUUM CLEANER,"A separation system for a vacuum cleaner is disclosed herein. The separation system includes a chamber that has an airflow inlet. Further, a filter assembly is disposed in the chamber for filtering airflow from the airflow inlet. The filter assembly extends in a lengthwise direction along the chamber and has a generally U-shaped cross-sectional shape when viewed along the lengthwise direction.","VACUUM CLEANER A separation system for a vacuum cleaner is disclosed herein. The separation system includes a chamber that has an airflow inlet. Further, a filter assembly is disposed in the chamber for filtering airflow from the airflow inlet. The filter assembly extends in a lengthwise direction along the chamber and has a generally U-shaped cross-sectional shape when viewed along the lengthwise direction."
2025-0380845,VACUUM CLEANER,"A vacuum cleaner is described comprising a dirt separator, suction motor comprising an electric motor for generating an airflow through the vacuum cleaner, one or more air outlets to an external environment of the vacuum cleaner, a first passageway fluidically located between the dirt separator and the electric motor, and a second passageway fluidically located between the electric motor and the one or more air outlets. The first passageway surrounds at least a portion of the second passageway, whereby the vacuum cleaner is configured so that, in use, the electric motor causes the airflow to move through the dirt separator, and then to the electric motor via the first passageway, and then from the electric motor to the external environment of the vacuum cleaner via the second passageway and at least one of the one or more air outlets.","VACUUM CLEANER A vacuum cleaner is described comprising a dirt separator, suction motor comprising an electric motor for generating an airflow through the vacuum cleaner, one or more air outlets to an external environment of the vacuum cleaner, a first passageway fluidically located between the dirt separator and the electric motor, and a second passageway fluidically located between the electric motor and the one or more air outlets. The first passageway surrounds at least a portion of the second passageway, whereby the vacuum cleaner is configured so that, in use, the electric motor causes the airflow to move through the dirt separator, and then to the electric motor via the first passageway, and then from the electric motor to the external environment of the vacuum cleaner via the second passageway and at least one of the one or more air outlets."
2025-0375075,ROBOT,"A robot is disclosed herein. The robot includes a body with an underside and a plurality of legs for supporting the body above a support surface. A housekeeping module is carried by the body, and during operation of the robot, the housekeeping module performs a housekeeping operation. The housekeeping module is extendible from the underside of the body.","ROBOT A robot is disclosed herein. The robot includes a body with an underside and a plurality of legs for supporting the body above a support surface. A housekeeping module is carried by the body, and during operation of the robot, the housekeeping module performs a housekeeping operation. The housekeeping module is extendible from the underside of the body."
2025-0375077,DIRT SEPARATOR,"A dirt separator for a vacuum cleaner is provided, which includes a dirt separation chamber, a filter assembly, and an outlet chamber. The dirt separation chamber extends along a longitudinal axis from an opening to an outlet. The filter assembly extends parallel to the longitudinal axis and divides the dirt separation chamber into a dirt collection chamber upstream of the filter assembly. The outlet chamber is downstream of the filter assembly. The outlet chamber has a cross-sectional area that is substantially constant along a length of the filter assembly.","DIRT SEPARATOR A dirt separator for a vacuum cleaner is provided, which includes a dirt separation chamber, a filter assembly, and an outlet chamber. The dirt separation chamber extends along a longitudinal axis from an opening to an outlet. The filter assembly extends parallel to the longitudinal axis and divides the dirt separation chamber into a dirt collection chamber upstream of the filter assembly. The outlet chamber is downstream of the filter assembly. The outlet chamber has a cross-sectional area that is substantially constant along a length of the filter assembly."
