patent_id,title,top_keywords,top_keyword_scores,title_top_keywords
2026-0083295,DRIVE SYSTEM FOR A WET FLOOR CLEANER,agitation; gear; drive housing; head assembly; rotationally; within agitator; drive; debris; floor cleaner; longitudinally,0.3143; 0.2429; 0.2429; 0.2257; 0.2026; 0.2026; 0.1915; 0.1762; 0.1702; 0.1678,drive; floor cleaner; floor; cleaner
2026-0085847,AIR TREATMENT APPARATUS,airflow passage; air treatment; primary; treatment; sensors; passage; flowing; air flows; secondary; flows,0.3211; 0.2686; 0.2476; 0.2161; 0.2137; 0.1995; 0.1855; 0.1783; 0.1707; 0.1675,air treatment; treatment; air
2026-0079502,DYNAMIC STABILITY OF A ROBOT MANIPULATOR,manipulator; force applied; force; applied; target; motion; robot; base; effective; data,0.3086; 0.3086; 0.2997; 0.2609; 0.2436; 0.2436; 0.2228; 0.2009; 0.1969; 0.1547,dynamic; stability; manipulator; dynamic stability; robot manipulator; stability robot; robot
2026-0069096,DRIVE SYSTEM FOR A FLOOR CLEANER,cooling; motor cooling; drive housing; drive; floor cleaner; longitudinally; vanes; diffuser; longitudinally disposed; output motor,0.2585; 0.2583; 0.2499; 0.2214; 0.2170; 0.2140; 0.2112; 0.1978; 0.1526; 0.1526,drive floor; drive; floor cleaner; floor; cleaner
2026-0069106,DRIVE SYSTEM FOR A FLOOR CLEANER,connector; drive; floor cleaner; longitudinally; element; cooling; motor cooling; extending drive; output motor; drive output motor,0.3388; 0.2485; 0.2435; 0.2401; 0.2382; 0.2341; 0.1712; 0.1712; 0.1712; 0.1712,drive floor; drive; floor cleaner; floor; cleaner
2026-0069899,WEARABLE AIR PURIFIER,air delivery; headgear; delivery; delivery mask; air delivery mask; mask; air delivery region; delivery region; airflow path; wearable air purifier,0.2832; 0.2375; 0.2341; 0.2277; 0.2277; 0.2249; 0.1837; 0.1837; 0.1689; 0.1610,wearable air; wearable; purifier; air purifier; air
2026-0074299,ELECTRODE PRECURSOR COMPOSITION,precursor composition; electrode precursor composition; electrode precursor; precursor; ion; composition; secondary; alkali; alkali metal; electrode,0.2898; 0.2898; 0.2803; 0.2661; 0.2605; 0.2522; 0.2240; 0.2200; 0.2200; 0.2122,precursor; electrode precursor; precursor composition; electrode; composition
2026-0075681,"HEATING ELEMENT, HEATING SYSTEM AND MANUFACTURING METHOD",trace; heating element; heating; connected electrical; contact; element; electrical; input; appliance heating; output,0.4166; 0.3156; 0.2907; 0.2703; 0.2518; 0.2221; 0.2213; 0.1741; 0.1597; 0.1549,heating; heating element; element; manufacturing
2026-0061355,FILTER MEDIA,media; filter media; membrane; layer; filter; airflow generator; layer filter; described air; inlet towards; towards airflow,0.3960; 0.3960; 0.2810; 0.2408; 0.2149; 0.1924; 0.1764; 0.1764; 0.1764; 0.1764,media; filter media; filter
2026-0066284,ELECTRODE PRECURSOR COMPOSITION,polymer; electrode precursor composition; precursor composition; electrode precursor; composition; precursor; insulating; conductive; electrode; organic solvent,0.3294; 0.2929; 0.2929; 0.2834; 0.2779; 0.2690; 0.2690; 0.2394; 0.2339; 0.1730,precursor; electrode precursor; precursor composition; electrode; composition
2026-0054105,WEARABLE AIR PURIFIER,air delivery; airflow path; headgear; delivery; delivery mask; air delivery mask; mask; delivery region; air delivery region; wearable air purifier,0.2760; 0.2321; 0.2315; 0.2282; 0.2220; 0.2220; 0.2192; 0.1791; 0.1791; 0.1570,wearable air; wearable; purifier; air purifier; air
2026-0050263,METHOD AND SYSTEM FOR EXPLORING A REAL-WORLD ENVIRONMENT,environment; representation environment; location; object; representation; new; obtained; based data; mobile robot; mobile,0.3438; 0.3153; 0.3052; 0.2978; 0.2930; 0.2773; 0.2313; 0.2176; 0.1825; 0.1788,
2026-0041296,VACUUM CLEANER,electrical power; delivered; load; vacuum motor; electrical; power level; agitator motor; power; threshold; level,0.2309; 0.2246; 0.2166; 0.1989; 0.1946; 0.1863; 0.1812; 0.1706; 0.1653; 0.1474,vacuum cleaner; vacuum; cleaner
2026-0045507,ELECTRODE PRECURSOR COMPOSITION,electrode precursor composition; precursor composition; electrode precursor; precursor; composition; electrode; secondary; phase; cell; cell described,0.3621; 0.3621; 0.3503; 0.3326; 0.2772; 0.2550; 0.1986; 0.1854; 0.1736; 0.1517,precursor; electrode precursor; precursor composition; electrode; composition
2026-0027706,DYNAMIC STABILITY OF A ROBOT MANIPULATOR,stability; dynamic; manipulator; applied force; determination module; determination; applied; robot; force; module,0.4267; 0.4128; 0.2588; 0.2503; 0.2503; 0.2242; 0.2000; 0.1868; 0.1816; 0.1804,dynamic; stability; manipulator; dynamic stability; robot manipulator; stability robot; robot
2026-0020732,CLEANER HEAD FOR A VACUUM CLEANING APPLIANCE,cylindrical body; cylindrical; edge; helical; agitator; formation; closer; centre; row; extending around,0.3197; 0.2815; 0.2178; 0.2178; 0.2121; 0.1994; 0.1994; 0.1817; 0.1707; 0.1707,head vacuum; vacuum cleaning; cleaner head; head; cleaning appliance; cleaning; vacuum; cleaner; appliance
2026-0020734,SEPARATION SYSTEM FOR A VACUUM CLEANER,separation vacuum; separation vacuum cleaner; separation; airflow inlet; inlet filter; filter; cleaner separation vacuum; filter filtering; chamber; wall chamber,0.2969; 0.2969; 0.2502; 0.2343; 0.2295; 0.1879; 0.1753; 0.1753; 0.1733; 0.1696,separation vacuum; separation; vacuum cleaner; vacuum; cleaner
2026-0013684,VACUUM CLEANER HEAD HAVING AGITATOR ELEMENT AND RIB,agitator element; rib; agitator; cleaner head having; element; head having; cleaner head; housing; having housing; agitator element mounted,0.3100; 0.2952; 0.2225; 0.2050; 0.2049; 0.1889; 0.1489; 0.1484; 0.1347; 0.1347,agitator element; agitator; element; having; cleaner head; head; vacuum cleaner; vacuum; cleaner
2025-0380781,HAIR STYLING APPLIANCE,electrodes; shielding; sensor assembly; hair styling appliance; styling appliance; hair styling; styling; hair; property hair; hair hair styling,0.2829; 0.2717; 0.2717; 0.2430; 0.2413; 0.2148; 0.2128; 0.2045; 0.1605; 0.1605,styling appliance; hair styling; styling; hair; appliance
2025-0380785,AN APPLIANCE,attachments; based data output; sensor control; sensor; data output; appliance appliance; based data; main; attached main; unit plurality,0.4184; 0.2471; 0.2471; 0.2430; 0.2325; 0.2325; 0.2325; 0.2048; 0.2020; 0.1995,appliance
2025-0380843,VACUUM CLEANER,dirt separator; dirt collection; dirt collection chamber; dirt; airflow dirt; collection chamber; opening dirt; collection; separator; opening,0.2362; 0.2328; 0.2328; 0.2318; 0.2268; 0.2243; 0.2194; 0.2113; 0.1939; 0.1561,vacuum cleaner; vacuum; cleaner
2025-0380844,VACUUM CLEANER,lengthwise; airflow inlet; separation; filter assembly; separation vacuum; separation vacuum cleaner; cleaner separation vacuum; separation chamber; inlet filter assembly; viewed along,0.2728; 0.2394; 0.2063; 0.2027; 0.1792; 0.1792; 0.1792; 0.1792; 0.1792; 0.1792,vacuum cleaner; vacuum; cleaner
2025-0380845,VACUUM CLEANER,passageway; electric motor; electric; fluidically; external environment; dirt separator; air outlets; environment; outlets; motor,0.3059; 0.2841; 0.2376; 0.2351; 0.2274; 0.1969; 0.1969; 0.1922; 0.1817; 0.1689,vacuum cleaner; vacuum; cleaner
2025-0375075,ROBOT,robot; underside; module; operation; robot body; body support; carried body; supporting body; disclosed herein; body,0.4086; 0.3886; 0.3471; 0.2993; 0.2295; 0.2295; 0.2232; 0.2179; 0.2133; 0.2125,robot
2025-0375077,DIRT SEPARATOR,separation chamber; outlet chamber; filter assembly; chamber dirt; separation; dirt; chamber; filter; dirt separator; longitudinal axis,0.2883; 0.2542; 0.2395; 0.2189; 0.1960; 0.1954; 0.1906; 0.1831; 0.1572; 0.1463,dirt separator; dirt; separator
2025-0375078,VACUUM CLEANER,dock; abutment; abuts; cleaner head cleaner; head cleaner; head cleaner head; cleaner head; neck; head; cleaner,0.4025; 0.2961; 0.2961; 0.2593; 0.2575; 0.2575; 0.2572; 0.2566; 0.2144; 0.1975,vacuum cleaner; vacuum; cleaner
2025-0366585,HAIR STYLING APPLIANCE,property hair; sensor assembly; electrodes; property; hair; hair styling; styling; hair styling appliance; styling appliance; hair hair styling,0.2898; 0.2898; 0.2654; 0.2511; 0.2334; 0.2292; 0.2270; 0.2092; 0.2076; 0.1712,styling appliance; hair styling; styling; hair; appliance
2025-0366683,VACUUM CLEANER,non-cyclonic separation; suction motor; non-cyclonic; separation; central; suction; longitudinal axis; battery; longitudinal; motor generating airflow,0.3886; 0.3886; 0.3760; 0.2642; 0.2215; 0.1989; 0.1972; 0.1972; 0.1891; 0.1742,vacuum cleaner; vacuum; cleaner
2025-0366686,SEPARATION SYSTEM FOR A VACUUM CLEANER,cyclone body; valve assembly; separation vacuum; separation vacuum cleaner; permits airflow; position valve; cyclone; separation; valve; permits,0.3231; 0.2841; 0.2292; 0.2292; 0.2292; 0.2292; 0.2052; 0.1932; 0.1932; 0.1851,separation vacuum; separation; vacuum cleaner; vacuum; cleaner
2025-0361187,CERAMIC CASTING METHOD AND FORMULATION,ceramic; polymer; product; component; dry; slip; contains; solvent; produce; containing,0.5584; 0.3585; 0.3508; 0.3152; 0.2497; 0.2497; 0.2385; 0.2299; 0.2117; 0.1744,
2025-0351937,APPLIANCE TO WHICH ONE OF A PLURALITY OF MAGNETIC ATTACHMENTS IS ATTACHABLE,attachments; magnetic; attached main; appliance plurality; regions; attachable; attached; main; unit; attachment,0.3778; 0.3322; 0.2484; 0.2372; 0.2307; 0.1935; 0.1920; 0.1849; 0.1798; 0.1712,appliance
2025-0344825,HAIRCARE APPLIANCE,control unit; object; haircare appliance; haircare; signals; sensor; engaging hair; differences; arrangement control; body engaging,0.2804; 0.2527; 0.2429; 0.2429; 0.2227; 0.1880; 0.1849; 0.1849; 0.1849; 0.1849,haircare; haircare appliance; appliance
2025-0344827,HAIRSTYLING APPARATUS WITH RECONFIGURABLE CURRENT FLOWS,voltage current; current output; elements; hairstyling; switching; components; heating; flows; current; signal,0.3073; 0.2822; 0.2770; 0.2662; 0.2662; 0.2512; 0.2354; 0.2330; 0.2263; 0.1899,current; hairstyling
2025-0351231,HAIRSTYLING APPARATUS WITH POWER ELECTRONIC CONVERTER,mains; converter; hairstyling; power; power supply; electronic; signal; heater; supply; voltage,0.3081; 0.2717; 0.2670; 0.2496; 0.2488; 0.2406; 0.2360; 0.2331; 0.1985; 0.1851,electronic; converter; hairstyling; power
2025-0338939,HAIR STYLING APPARATUS,trigger; hair styling; styling; mounted body; hair; element; rotatable; styling body; depressing trigger; hair styling body,0.3006; 0.2797; 0.2771; 0.2465; 0.2141; 0.2056; 0.1709; 0.1680; 0.1680; 0.1680,styling; hair styling; hair
2025-0339006,VACUUM CLEANING SYSTEM,membrane; airflow direction; mode; surface cleaning; vacuum motor; dirt bin; primary separation; bin; vacuum cleaning vacuum; cleaning vacuum,0.3070; 0.2453; 0.2202; 0.2091; 0.2045; 0.1979; 0.1915; 0.1818; 0.1818; 0.1818,vacuum cleaning; cleaning; vacuum
2025-0331690,CLEANER HEAD FOR A VACUUM CLEANER,agitator element; agitator element mounted; element mounted rotation; element mounted; mounted rotation; agitator; element; head vacuum cleaner; cleaner cleaner; cleaner cleaner head,0.2664; 0.2437; 0.2358; 0.2293; 0.2112; 0.2032; 0.1761; 0.1647; 0.1638; 0.1638,cleaner; head vacuum; cleaner head; head; vacuum cleaner; vacuum
2025-0325084,ATTACHMENT FOR A HAIRCARE APPLIANCE,plurality bristles; bristles; curved surface; position relative; outlet position; curved; attachment; attachment haircare; attachment haircare appliance; air outlet,0.2244; 0.1914; 0.1869; 0.1867; 0.1807; 0.1555; 0.1483; 0.1430; 0.1430; 0.1352,attachment haircare; attachment; haircare; haircare appliance; appliance
2025-0318621,HAIR STYLING APPARATUS,trigger; actuator; styling; grip; hair styling; move; pivotably; hair; disclosed; hair hair styling,0.3511; 0.2433; 0.2206; 0.2080; 0.2036; 0.1845; 0.1750; 0.1704; 0.1400; 0.1337,styling; hair styling; hair
2025-0311901,AGITATOR ELEMENT FOR A VACUUM CLEANER,agitator element; outermost; agitation; agitator; element; surfaces; end; material extends; ends agitator element; extends away,0.3699; 0.2976; 0.2800; 0.2481; 0.2445; 0.2048; 0.1826; 0.1758; 0.1758; 0.1758,element vacuum; agitator element; agitator; element; vacuum cleaner; vacuum; cleaner
2025-0299379,AUGMENTED REALITY CLEANING SYSTEM,location; location determination; location determination module; determination module; information; display; determination; determination module determine; module determine; data,0.3333; 0.2715; 0.2715; 0.2626; 0.2523; 0.2352; 0.2352; 0.2190; 0.1969; 0.1918,cleaning
2025-0288172,VACUUM CLEANING SYSTEM,bin; dirt bin; dirt; storage; docking station; bin bin; station; docking; cleaning vacuum; vacuum cleaning vacuum,0.3331; 0.3288; 0.2139; 0.2102; 0.2047; 0.1994; 0.1930; 0.1892; 0.1832; 0.1832,vacuum cleaning; cleaning; vacuum
2025-0277315,ELECTROLYTIC CELL FOR THE PRODUCTION OF HYPOCHLOROUS ACID,liquid; electrolytic; electrolytic cell; anode; anode cathode; production; cell; proximal; cathode; flow rate,0.3028; 0.2903; 0.2903; 0.2631; 0.2489; 0.2408; 0.2371; 0.2342; 0.2262; 0.2195,electrolytic; production; cell
2025-0279738,METHOD OF CONTROLLING A BRUSHLESS PERMANENT MAGNET MOTOR,phase winding; phase; time interval; freewheel period; freewheel; interval; freewheeling; winding; freewheeling phase; freewheeling phase winding,0.2286; 0.2275; 0.2172; 0.2172; 0.2018; 0.1980; 0.1792; 0.1780; 0.1752; 0.1752,permanent; permanent magnet; brushless permanent; magnet motor; controlling brushless; magnet; controlling; brushless; motor
2025-0255443,ROBOTIC VACUUM CLEANER,point; pivot; gearbox; distance; robotic vacuum cleaner; robotic vacuum; wheel; body pivot; coupled; arm coupled,0.3112; 0.3112; 0.2716; 0.2692; 0.2495; 0.2353; 0.2220; 0.2191; 0.2182; 0.2120,robotic vacuum; robotic; vacuum cleaner; vacuum; cleaner
2025-0255487,SYSTEMS AND METHODS FOR ORAL INSPECTION,oral; interest; sensor module; module; boundary; filters; sensor; optical; processor; detection,0.2959; 0.2787; 0.2787; 0.2585; 0.2458; 0.2065; 0.2013; 0.1949; 0.1949; 0.1917,methods; inspection; methods oral; systems methods; oral inspection; systems; oral
2025-0235681,ULTRASONIC PROBE TO IMPROVE ABSORPTION OF ACTIVE INGREDIENTS INTO THE SKIN,skin; transducer; working; reservoir; head; dispense; whilst; sound; reservoir containing; couple,0.4212; 0.3612; 0.3062; 0.2691; 0.2235; 0.2133; 0.2064; 0.2064; 0.2064; 0.1959,active
2025-0237394,AIR TREATMENT APPARATUS,supply pipe; water supply pipe; pipe; water supply; water; lateral; supply; ultraviolet light; water outlet; water inlet,0.2303; 0.2303; 0.2239; 0.2174; 0.2105; 0.1829; 0.1691; 0.1397; 0.1358; 0.1358,air treatment; treatment; air
2025-0228345,HAIR STYLING APPARATUS,steam; tress; tress hair; barrel; arranged discharge; steam outlets; steam generator; outlets arranged discharge; outlets fluid communication; outlets fluid,0.2880; 0.1700; 0.1700; 0.1583; 0.1583; 0.1583; 0.1583; 0.1583; 0.1532; 0.1532,styling; hair styling; hair
2025-0229113,WEARABLE AIR PURIFIER,speaker; speaker assembly; speaker assembly nozzle; filtered airflow; filtered airflow speaker; airflow speaker; wearable air purifier; filtered; wearable air; wearable,0.2695; 0.2283; 0.1561; 0.1516; 0.1482; 0.1482; 0.1433; 0.1422; 0.1412; 0.1394,wearable air; wearable; purifier; air purifier; air
2025-0221599,HARD FLOOR CLEANER,mop; hard floor; hard; floor cleaner; element; floor; direction travel; element mounted rotation; respect direction; element mounted,0.4056; 0.3451; 0.3356; 0.2996; 0.2767; 0.2216; 0.1645; 0.1645; 0.1645; 0.1599,hard; hard floor; floor cleaner; floor; cleaner
2025-0223974,NOZZLE FOR A FAN ASSEMBLY,airflow moves; moves duct; duct airflow; duct airflow moves; airflow moves duct; airflows; having outlet; outlet emitting airflow; emitting airflow; duct,0.1790; 0.1790; 0.1790; 0.1790; 0.1790; 0.1684; 0.1644; 0.1503; 0.1445; 0.1441,nozzle fan; nozzle; fan assembly; fan; assembly
2025-0213017,HAIR STYLING APPARATUS,steam; projections; steam generator; steam outlets; arranged discharge; outlets arranged discharge; outlets fluid communication; outlets fluid; mover; air mover,0.3041; 0.1702; 0.1610; 0.1610; 0.1610; 0.1610; 0.1558; 0.1558; 0.1479; 0.1479,styling; hair styling; hair
2025-0213093,HARD FLOOR CLEANER,mop; element; hard floor; hard; axis rotation; floor cleaner; external surface; rotation; external; end,0.3558; 0.2779; 0.2443; 0.2376; 0.2226; 0.2121; 0.1933; 0.1818; 0.1697; 0.1549,hard; hard floor; floor cleaner; floor; cleaner
2025-0215881,FAN ASSEMBLY,nozzle body air; body air outlets; nozzle body; delivered; air outlets; outlets; airflow; body air; fan assembly; air outlet air,0.2207; 0.2136; 0.2115; 0.2077; 0.1849; 0.1706; 0.1627; 0.1618; 0.1577; 0.1539,fan assembly; fan; assembly
2025-0204664,HAIRCARE APPLIANCE,barrel; absence; hair contact; presence; heating element; heating; contact; based; haircare appliance; haircare,0.3415; 0.2280; 0.2100; 0.2035; 0.2007; 0.1856; 0.1601; 0.1524; 0.1467; 0.1467,haircare; haircare appliance; appliance
2025-0204665,HAIR STYLING APPARATUS,steam; airflow outlets; steam outlets; steam generator; airflow airflow outlets; outlets fluid communication; directs airflow; outlets fluid; outlets; mover,0.2750; 0.1791; 0.1668; 0.1668; 0.1668; 0.1614; 0.1614; 0.1614; 0.1603; 0.1532,styling; hair styling; hair
2025-0205520,WEARABLE AIR PURIFIER,headgear; central; sides; wearable air purifier; wearable air; wearable; purifier; air purifier; portions; nozzle,0.2831; 0.2346; 0.2138; 0.1919; 0.1892; 0.1867; 0.1867; 0.1867; 0.1734; 0.1729,wearable air; wearable; purifier; air purifier; air
2025-0194878,DUST DISTRIBUTION MAPPING,distribution; particle; dust; particle size; data; piezoelectric; size; robotic vacuum cleaner; robotic vacuum; dust particles,0.3100; 0.2493; 0.2119; 0.2079; 0.2070; 0.2011; 0.1992; 0.1910; 0.1801; 0.1641,distribution; dust distribution; dust
2025-0194879,CONTROL OF A ROBOTIC VACUUM CLEANER BASED ON DUST DISTRIBUTION DATA,distribution; robotic vacuum cleaner; robotic vacuum; cleaning operation; data; dust; robotic; operation; based; executed,0.3813; 0.2911; 0.2747; 0.2557; 0.2546; 0.2436; 0.2404; 0.2362; 0.1994; 0.1510,distribution; dust distribution; dust; robotic vacuum; robotic; control; vacuum cleaner; vacuum; cleaner
2025-0194914,SYSTEMS AND METHODS FOR ORAL INSPECTION,interest; oral; gap; detection; sensor module; module; light; region; sensor; data,0.3144; 0.3097; 0.3046; 0.2931; 0.2231; 0.2191; 0.1919; 0.1911; 0.1826; 0.1576,methods; inspection; methods oral; systems methods; oral inspection; systems; oral
2025-0198426,NOISE REDUCTION FOR AIR FLOW DEVICES,air flow duct; flow duct; screen; resistive screen; duct cavity; cavity; resistive; duct; air flow; noise,0.2209; 0.2174; 0.1857; 0.1809; 0.1702; 0.1668; 0.1568; 0.1457; 0.1385; 0.1348,reduction; air flow; reduction air; noise reduction; flow devices; devices; flow; noise; air
2025-0198803,ENCODER,magnetic; field; metal; oscillating; sensing; moves relative; coil; electromagnetic; inductor; target,0.3038; 0.2716; 0.2648; 0.2646; 0.2588; 0.2560; 0.2430; 0.2430; 0.2378; 0.2367,
2025-0202377,AC-TO-AC CONVERTER,switches; terminals; output terminals; closing; primary; secondary; current output; polarity; output; converter,0.2693; 0.2458; 0.2332; 0.2133; 0.2044; 0.2044; 0.1959; 0.1959; 0.1884; 0.1881,converter
2025-0185866,USE OF FIDUCIAL MARKS BY A ROBOTIC VACUUM CLEANER,fiducial; image; robotic vacuum cleaner; robotic vacuum; module; robotic; camera; alert; characteristics; processor,0.3576; 0.2962; 0.2909; 0.2745; 0.2606; 0.2402; 0.2397; 0.2397; 0.1848; 0.1781,robotic vacuum; robotic; vacuum cleaner; vacuum; cleaner
2025-0188954,FAN ASSEMBLY WITH A REMOVABLE FILTER ASSEMBLY,fan body; filter housing; inlet surface; filter housing filter; filter; housing filter; user interface; filter assembly; interface; motor-driven impeller,0.2450; 0.2077; 0.1934; 0.1934; 0.1796; 0.1776; 0.1739; 0.1602; 0.1454; 0.1418,assembly removable; removable filter; removable; filter assembly; assembly; filter; fan assembly; fan
2025-0192397,ENERGY STORAGE DEVICE,electrode; fuse; energy storage; storage; energy; substrate electrode; electrolyte electrode; electrode connected; electrode electrolyte; electrode electrode,0.4126; 0.3885; 0.2974; 0.2657; 0.2596; 0.2294; 0.2294; 0.2294; 0.2220; 0.2159,energy storage; energy; storage
2025-0176693,HAIR ROLLER,connector; electrical connector; hair wrapped around; wrapped around; around housing; roller; hair wrapped; wrapped; electrically-powered; electrical,0.2874; 0.2820; 0.2700; 0.2612; 0.2612; 0.2543; 0.2540; 0.2480; 0.2427; 0.2390,roller; hair roller; hair
2025-0170045,HAIR STYLING COMPOSITION,polymer; composition; hair styling; styling; hair; copolymer; sufficiently; contain; stable; properties,0.4602; 0.3882; 0.3235; 0.3205; 0.2477; 0.2416; 0.2416; 0.2338; 0.2338; 0.2274,composition; styling; hair styling; hair
2025-0160496,HAIR ROLLER,electrical energy; electrically-powered; roller; energy source; energy; hair wrapped; wrapped; heater; electrical; hair,0.3208; 0.3208; 0.2599; 0.2532; 0.2384; 0.2382; 0.2325; 0.2178; 0.2073; 0.1906,roller; hair roller; hair
2025-0160589,DIRT SEPARATOR,bin; valve; moved; moved position; emptying; sequence; dirt; position; open position; closed position,0.3300; 0.2443; 0.2217; 0.2001; 0.1959; 0.1921; 0.1830; 0.1707; 0.1573; 0.1529,dirt separator; dirt; separator
2025-0151870,HAIRCARE APPLIANCE,heater assembly; heater; temperature; haircare; haircare appliance; assembly heating; determine presence; sensed temperature; sensor sense; controller determine,0.3835; 0.2787; 0.2273; 0.1961; 0.1961; 0.1913; 0.1913; 0.1913; 0.1851; 0.1851,haircare; haircare appliance; appliance
2025-0151873,COMB,comb; comb further; directs airflow; comb teeth; tooth; longitudinally extending; directs; mounted housing; longitudinally; row,0.2922; 0.1938; 0.1875; 0.1875; 0.1824; 0.1824; 0.1743; 0.1653; 0.1606; 0.1606,comb
2025-0146512,FAN ASSEMBLY,outlet direction; outlet position; air outlet section; inlet airflow; position airflow; outlet section; switching; airflow air outlet; airflow; delivering,0.2243; 0.2171; 0.2171; 0.2111; 0.2061; 0.1944; 0.1944; 0.1913; 0.1654; 0.1644,fan assembly; fan; assembly
2025-0134227,HAIR STYLING DEVICE,varying magnetic; varying magnetic field; induction heating; induction; magnetic field; field; varying; heating; magnetic; hair styling,0.2704; 0.2704; 0.2616; 0.2483; 0.2343; 0.2239; 0.2183; 0.2071; 0.2015; 0.1725,styling; hair styling; hair
2025-0137464,COMPRESSOR ASSEMBLY WITH A SILENCER,compressor; flows; end; further airflow; end distal; provided end; proximal; assembly described; airflow; distal,0.5133; 0.3100; 0.2507; 0.2414; 0.2414; 0.2271; 0.2271; 0.2092; 0.2053; 0.1999,compressor; assembly
2025-0140933,SOLID-STATE ELECTROCHEMICAL CELL,solid-state electrochemical; solid-state; solid-state electrochemical cells; layer arranged; electrochemical; electrochemical cells; layer; anode; current collector; cathode,0.2550; 0.2284; 0.2051; 0.2051; 0.1948; 0.1869; 0.1835; 0.1807; 0.1780; 0.1767,solid-state electrochemical; electrochemical cell; solid-state; electrochemical; cell
2025-0141006,BATTERY STACK,cathode layer; cathode; arranged cathode; electrochemical; battery stack; cathode current; cathode current collector; layer; electrochemical cells; current collector,0.2264; 0.2230; 0.2168; 0.2131; 0.2097; 0.1991; 0.1991; 0.1980; 0.1911; 0.1821,stack; battery
2025-0142680,HEATING SYSTEM,heating; targets; assembly heating; varying magnetic field; heating assembly; varying magnetic; induction heating assembly; induction heating; induction; magnetic field,0.2797; 0.2532; 0.2396; 0.2396; 0.2396; 0.2396; 0.2396; 0.2318; 0.2201; 0.2076,heating
2025-0127353,CLEANER HEAD FOR A VACUUM CLEANER,rearward; forward; forward direction; cleaning surface; manoeuvred; direction; roller; cleaner head; suction chamber; head,0.2690; 0.2434; 0.2381; 0.2316; 0.2260; 0.2083; 0.2038; 0.1998; 0.1850; 0.1665,cleaner; head vacuum; cleaner head; head; vacuum cleaner; vacuum
